"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan editor role post test","[1] E, male, 713302, 3","SUCCESS","2021-04-16T09:40:21.932-05:00[America/Chicago]","0.0","0.79"
"Spartan editor role post test","[2] Muhammad, Male, 123, 1","SUCCESS","2021-04-16T09:40:22.727-05:00[America/Chicago]","0.0","0.44"
"Spartan editor role post test","[3] Inci is from Batch 21, female, 7038142311, 2","SUCCESS","2021-04-16T09:40:23.167-05:00[America/Chicago]","0.0","0.44"
"Spartan editor role post test","Editor Should be able Post Valid Data","SUCCESS","2021-04-16T09:40:23.608-05:00[America/Chicago]","0.0","1.21"
"Spartan editor role post test","[1] Ercan Civi, Male, 7133306302","SUCCESS","2021-04-16T09:40:24.818-05:00[America/Chicago]","0.0","0.65"
"Spartan editor role post test","[2] Muhammad, Male, 9293215645","SUCCESS","2021-04-16T09:40:25.472-05:00[America/Chicago]","0.0","0.48"
"Spartan editor role post test","[3] Inci, Female, 7038142311","SUCCESS","2021-04-16T09:40:25.957-05:00[America/Chicago]","0.0","0.52"
